Latitud;Longitud;LCOEnet;LCOEgross;TIR;Payback;Payback_simple;BCratio;CAPEX_USD;CashFlow_USD;NPV_USD;PV_kWdc;BESS_kWh;BESS_inverter_kW;PV_inverter_kW;Load_kWh;Grid_import_kWh;Grid_export_kWh;BESS_charge_kWh;BESS_discharge_kWh;PV_generated_kWh;PV_used_kWh;PV_clipping_kWh
5,030452;-75,117729;-348,090356;165,681797;30,86107692;3,84865399;3,225386641;3,113198106;11149133,82;3456681,341;30618551,25;11750,88132;23139,56913;3695,652174;5695,652174;8760000;0;5492154,514;7707315,081;7158175,357;15861696,83;14801294,24;1060402,59
4,877968;-74,467437;-343,6885202;170,3274425;29,95659114;3,980623572;3,320481122;3,024039955;11455684,79;3450007,505;30231359,15;12467,58395;23053,11265;3626,620636;5626,620636;8760000;0;5360920,581;7619728,72;7075513,338;15331283,25;14665135,96;666147,2916
2,260941;-76,740336;-344,5397545;169,4230179;30,10651556;3,958141688;3,304346869;3,038805543;11407253,09;3452196,015;30306235;12186,41667;23212,24372;4035,932176;6035,932176;8760000;0;5452286,779;7728640,331;7174009,866;15456608,68;14766917,24;689691,4342
7,347989;-72,946491;-335,1948927;174,7629372;28,8253249;4,158631356;3,447283915;2,91280551;11769552,3;3414152,297;29484246,9;13104,90476;22772,91555;4315,289824;6315,289824;8760000;1000;5438129,521;7650145,545;7104206,603;15814238,98;14743068,46;1071170,516
1,601318;-76,970504;-350,9553073;166,3653518;30,9527559;3,835753212;3,216040567;3,122245311;11196510,54;3481458,119;30870556,67;11661,80758;23507,12679;3758,600583;5758,600583;8760000;0;5601678,088;7800148,281;7244965,601;15620832,65;14916860,77;703971,8845
5,315367;-75,799005;-352,2103162;163,5960001;31,42597061;3,770486442;3,168620196;3,168971653;11011975,91;3475322,136;30980949,15;11346,6912;23346,28358;3740,291078;5740,291078;8760000;0;5667513,85;7845522,262;7282243,751;15892308,45;14990792,36;901516,0898
5,196515;-73,14563;-345,4223116;166,6831734;30,54494768;3,893796318;3,258020054;3,082015278;11216941,47;3442870,603;30383866,05;11593,98592;23756,3724;3729,747843;5729,747843;8760000;0;5009744,866;7630969,766;7088486,019;15239609,29;14312228,61;927380,6786
1,350814;-77,523953;-349,0387359;166,0177071;30,86475222;3,848135182;3,225010959;3,113560763;11177733,65;3465952,145;30701972,17;11366,23133;23967,79367;3902,483932;5902,483932;8760000;0;5401980,366;7889070,26;7322628,988;15361054,74;14728421,64;632633,0992
10,873586;-74,978704;-354,0586387;162,8460751;31,65315374;3,739918926;3,146331928;3,191420299;10964485,41;3484847,01;31143530,37;11030,99633;23755,99209;3814,438166;5814,438166;8760000;0;5742333,868;7964068,227;7392141,669;16831388,73;15074260,43;1757128,303
5,988953;-73,771346;-348,2129127;168,375465;30,48563361;3,902381658;3,264214043;3,076167019;11337015,34;3473122,533;30629331,52;11746,89269;23836,15349;4000,312785;6000,312785;8760000;0;5664246,11;7956271,912;7389854,446;15919383,1;14990663,58;928719,5199
9,244241;-74,42818;-359,5957486;160,4002179;32,38784533;3,644306444;3,076289035;3,264084574;10803380,57;3511822,344;31630582,89;10465,53564;24196,0292;3853,374083;5853,374083;8760000;0;5900647,435;8119388,033;7535441,21;16273544,76;15244594,26;1028950,507
1,427277;-77,097101;-356,1481309;162,5770393;31,82291864;3,717391934;3,129874022;3,208201835;10951333,29;3498969,355;31327325,25;10907,24393;23870,7174;3979,351123;5979,351123;8760000;0;5707393,103;7960887,879;7389167,586;15686452,46;15039113,4;647339,0666
8,958436;-75,835615;-352,9824646;164,1828757;31,38775401;3,775676593;3,172399572;3,165196361;11053967,13;3484418,301;31048868,48;11232,4551;23723,40739;3839,753405;5839,753405;8760000;0;5678291,402;7911954,309;7343325,254;15909838,1;15006920,46;902917,6482
0,919652;-77,568701;-338,9359436;170,2906352;29,65342531;4,026854124;3,353574311;2,994198623;11453120,68;3415198,119;29813315,37;12826,71784;22282,78827;3637,342492;5637,342492;8760000;0;4909552,295;7314827,589;6790202,508;14909030,3;14194177,38;714852,9289
5,408694;-73,296049;-351,0724837;164,5973963;31,21014541;3,799981979;3,190078975;3,147654858;11077401,53;3472453,698;30880863,69;11417,86195;23513,33317;3698,654899;5698,654899;8760000;0;5369790,476;7717422,136;7168348,882;15900071,54;14678863,73;1221207,808
10,378291;-74,880847;-357,7190475;163,196611;31,83310143;3,716049172;3,12889215;3,209208595;10994981,53;3514017,422;31465505,43;10617,48155;24636,81755;4053,026231;6053,026231;8760000;0;5984607,587;8262920,022;7668412,676;16405015,53;15339114,93;1065900,597
5,610244;-75,45487;-354,1810677;163,6837547;31,5438854;3,754560212;3,157013911;3,1806219;11018685,1;3490223,803;31154299,41;11265,40928;23532,65612;3767,889553;5767,889553;8760000;0;5678842,151;7841581,973;7278126,079;15747952,81;15002298,05;745654,7689
5,759166;-73,91336;-333,4249517;175,4118877;28,67274325;4,183832409;3,465100816;2,897828408;11792242,38;3403145,539;29328560,23;13493,78857;22431,43616;3598,572879;5598,572879;8760000;0;5322519,225;7499841,074;6965885,213;15546039,99;14616475,09;929564,8997
5,550091;-74,00405;-327,9571803;175,1508833;28,36955519;4,234799577;3,501032474;2,86808753;11768204,7;3361352,626;28847606,84;13938,97343;21503,38798;3379,049845;5379,049845;8760000;0;4881070,36;7182338,698;6668308,354;14821776,01;14155100,7;666675,3026
3,015382;-76,642238;-355,7154367;162,5294787;31,7924458;3,721415947;3,132815927;3,205189138;10951907,95;3495867,043;31289264,81;10845,62349;23934,52605;4110,424272;6110,424272;8760000;0;5635444,668;7971209,051;7398393,854;15682730,35;14968259,87;714470,4816
5,383378;-73,686972;-356,2708894;163,5787517;31,69805248;3,733935121;3,141962926;3,195858073;11012290,3;3504907,781;31338123,27;11080,03241;23885,54683;3781,560914;5781,560914;8760000;0;5762464,253;7916929,077;7353457,353;16206263,7;15085935,98;1120327,726
5,55458;-73,865553;-355,9498934;163,8037626;31,64979841;3,740366855;3,1466589;3,191088676;11024602,67;3503590,004;31309887,98;11225,02706;23683,2763;3692,211221;5692,211221;8760000;0;5784845,788;7860644,369;7301150,484;16061673,45;15104339,67;957333,7776
5,964693;-75,735544;-358,4613909;162,7208274;31,94406067;3,701478773;3,118231502;3,220180277;10967201,86;3517122,398;31530803,07;10660,98081;24347,28358;4194,029851;6194,029851;8760000;0;5960036,903;8186328,936;7603379,148;15948033,05;15302986,69;645046,3573
4,617759;-75,636533;-339,273756;170,6308237;29,62889123;4,030641203;3,356280187;2,991784661;11477343,73;3419661,974;29843029,85;12838,8263;22337,09533;3694,019463;5694,019463;8760000;0;5368086,926;7489827,034;6956528,357;15538819,91;14661385,6;877434,3105
6,155667;-75,786647;-352,9204462;163,6442225;31,44456786;3,767965818;3,166784198;3,17080892;11025514,05;3481612,059;31043413,24;11153,8806;23624,37906;4101,172687;6101,172687;8760000;0;5686354,783;7929872,932;7359956,576;15700665,21;15016271,14;684394,0754
6,246631;-75,581775;-354,8799799;162,7910954;31,69705084;3,734068409;3,142060265;3,195759067;10969756,72;3491262,354;31215776,78;11007,82524;23663,30612;4132,459442;6132,459442;8760000;0;5741354,307;7949894,511;7378592,783;15871190,31;15072656,04;798534,2739
6,245847;-73,419292;-363,908572;166,553102;31,73982342;3,728384977;3,137908822;3,199987046;11228764,96;3578422,955;32009945,32;10167,67612;26451,87878;4402,585652;6402,585652;8760000;0;6396894,539;8731923,894;8109118,744;16607912,68;15779699,69;828212,987
5,355317;-73,456759;-351,7862107;162,3940768;31,57614947;3,750225364;3,153852503;3,183810141;10929350,05;3465396,696;30943644,19;11075,33019;23597,2161;3636,235536;5636,235536;8760000;0;5161423,521;7651256,28;7107137,812;15679742,56;14465541,99;1214200,571
4,520304;-74,593926;-355,2528005;163,389619;31,64837646;3,740556714;3,146797487;3,190948138;11003667,31;3496782,795;31248570,64;11030,7249;23877,60734;3921,293125;5921,293125;8760000;0;5670723,648;7935834,152;7370818,288;15685027,86;14995739,51;689288,346
5,317251;-73,396457;-347,439498;165,868536;30,79556868;3,85792417;3,232096978;3,106734622;11159893,66;3452833,792;30561300,8;11616,15865;23504,47583;3630,352099;5630,352099;8760000;0;5142070,83;7628676,268;7086143,567;15672896,46;14444603,53;1228292,925
5,689082;-73,230285;-353,5294193;164,6096957;31,36884608;3,778249629;3,174272672;3,163328617;11079961,36;3490551,225;31096979,44;11252,62415;23842,68188;3754,029358;5754,029358;8760000;0;5629138,017;7846069,702;7286832,713;16271599,46;14948375,01;1323224,457
1,001159;-77,448913;-348,5935428;166,6376441;30,75970714;3,863017501;3,235781886;3,103196673;11214396,49;3465745,493;30662812,31;11833,43876;23228,57969;3756,967958;5756,967958;8760000;0;5405031,267;7708392,177;7154958,596;15401159,02;14718464,85;682694,1668
5,068705;-73,877888;-344,6144447;167,5006602;30,39308935;3,915850934;3,273923655;3,067043902;11265635,03;3441019,465;30312804,86;12051,65679;23112,35238;3543,762123;5543,762123;8760000;0;5157417,758;7558051,465;7015827,736;15603885,04;14459641,49;1144243,551
3,220984;-76,313265;-353,1868341;163,593427;31,47394193;3,763991242;3,163888457;3,173710995;11020167,79;3483108,82;31066845,13;11119,25327;23710,06081;4029,600406;6029,600406;8760000;0;5522424,058;7884724,186;7318091,636;15621679,09;14849056,61;772622,4845
10,79445;-74,916077;-353,2566699;164,7072146;31,32352099;3,784431565;3,178771492;3,158851653;11092705,97;3489620,44;31072987,99;11245,53041;23799,26433;3976,999411;5976,999411;8760000;0;5837835,382;8016261,683;7439977,94;16907843,89;15174119,13;1733724,765
4,737205;-74,344594;-348,9111165;167,8856934;30,6217863;3,882729109;3,250029671;3,089592588;11292222,06;3474498,146;30690746,58;12092,27411;23128,43077;3579,406341;5579,406341;8760000;0;5492140,518;7653361,163;7108681,341;15790952,5;14796820,34;994132,1572
1,207854;-77,466136;-348,7196033;166,6392457;30,75948358;3,863049294;3,235804883;3,103174618;11218560,8;3467007,808;30673900,78;11754,97681;23338,37576;3898,647361;5898,647361;8760000;0;5425930,939;7732894,228;7177923,949;15430075,09;14740901,22;689173,8708
4,812564;-74,102569;-346,2547138;169,0183343;30,29408449;3,930361359;3,284372953;3,057286041;11368869,15;3461503,706;30457085,4;12182,81913;23258,96414;3627,244154;5627,244154;8760000;0;5363262,442;7677635,969;7129697,261;15690596,31;14671201,15;1019395,158
6,559708;-76,886773;-335,4488159;172,3114108;29,15044403;4,105906282;3,409899885;2,944739705;11600519,08;3402011,634;29506582,37;12832,2766;22696,76168;4096,614614;6096,614614;8760000;0;5126916,058;7577273,57;7037788,31;15139956,23;14426401,32;713554,9147
6,997275;-72,107939;-337,9195194;170,2150509;29,57677466;4,038708989;3,362042105;2,986657296;11458721,82;3408262,437;29723909,17;12287,1295;23254,15737;3994,890485;5994,890485;8760000;0;4647335,062;7393392,592;6862945,332;14600750,53;13937782,32;662968,2042
6,483027;-72,497007;-363,8560236;166,4411391;31,76022481;3,725680093;3,135932434;3,202003804;11217593,75;3577115,894;32005323,08;10436,9099;25900,02292;4280,932379;6280,932379;8760000;0;6424334,976;8610463,141;7997563,005;17013143,17;15797235,11;1215908,054
4,964641;-73,91207;-349,2208252;166,3734735;30,84471274;3,850965631;3,227060383;3,11158342;11193261,53;3468562,778;30717989,02;11772,83998;23327,48372;3627,828534;5627,828534;8760000;0;5404710,652;7690431,506;7142211,808;15748691,68;14712930,35;1035761,331
7,612192;-72,64701;-337,4927785;172,9506131;29,22368008;4,094208563;3,401585933;2,951937061;11631597,35;3419463,032;29686372,39;12846,68899;23018,96465;3687,229214;5687,229214;8760000;1000;5321963,066;7623721,791;7081134,131;15711029,16;14623550,72;1087478,432
6,137429;-73,098749;-355,0957051;166,7148026;31,14936225;3,808370473;3,196173254;3,141653091;11233449,07;3514655,863;31234752,29;11010,93102;24799,13043;4220,074931;6220,074931;8760000;0;5865176,725;8175885,512;7594097,676;16107252,35;15206964,56;900287,7871
8,041299;-72,868231;-339,071688;172,1962235;29,40690697;4,065224757;3,380955082;2,969950011;11587600,89;3427315,836;29825255,65;12489,54591;23461,96737;3895,065668;5895,065668;8760000;79,09676627;5256737,956;7695143,306;7147160,062;15795602,4;14564642,1;1230960,292
6,056866;-73,481639;-361,1458292;166,7158575;31,53915855;3,755196113;3,157477589;3,180154823;11237594,94;3559041,87;31766930,3;10432,34463;25968,0962;4341,822298;6341,822298;8760000;0;6184029,579;8539004,932;7930116,906;16486065,21;15552917,61;933147,6024
3,793653;-73,837999;-343,1617973;168,5629353;30,13521907;3,953865686;3,301275124;3,041633067;11347098,52;3437186,569;30185027,81;12068,13048;23245,43621;3927,865691;5927,865691;8760000;0;5011729,903;7563419,274;7024411,545;15113921,45;14310737,63;803183,8217
6,173995;-75,339345;-357,9385746;161,0155495;32,1741455;3,671619515;3,096348499;3,242938443;10847874,09;3503440,938;31484815,37;10632,51607;23977,36547;3986,106547;5986,106547;8760000;0;5826257,463;8051095,552;7472396,469;16270111,07;15164956,55;1105154,523
6,149903;-75,615479;-350,3459067;166,093927;30,9315899;3,838724114;3,218193654;3,120156418;11187268,19;3476256,99;30816952,88;11532,05327;23576,77786;4068,572051;6068,572051;8760000;0;5660006,69;7893601,95;7326845,611;15687973,47;14986763,03;701210,4414
5,422397;-71,732198;-353,7387146;161,2933614;31,85904631;3,712632218;3,126393119;3,211773824;10860925,5;3473947,481;31115389,36;10817,47378;23745,20891;3799,247691;5799,247691;8760000;0;5198777,206;7675022,07;7129278,2;15541858,33;14504521,08;1037337,253
5,560497;-72,985898;-361,9554423;163,77903;32,04242955;3,68865493;3,108839209;3,229908949;11029192,32;3547688,246;31838145,09;10581,20098;24952,41912;3888,438347;5888,438347;8760000;0;6131354,634;8262335,793;7672508,848;16782530,73;15481181,58;1301349,154
6,990996;-72,907445;-321,9550363;179,4442495;27,45995366;4,395202698;3,613233586;2,779025309;12081017,38;3343547,294;28319649,22;14043,04999;22192,3777;4346,054288;6346,054288;8760000;1000;4925427,156;7458942,633;6924104,86;15071355,13;14219264,93;852090,1994
5,227451;-73,12721;-344,2928746;167,745276;30,3296547;3,925136026;3,280611364;3,060791562;11286682,28;3440420,406;30284519,07;11900,66932;23438,82711;3707,561006;5707,561006;8760000;0;5033155,231;7576620,453;7037871,892;15156524,65;14331903,79;824620,8561
10,335432;-74,881687;-357,2682883;163,4631835;31,76588063;3,724930907;3,135384952;3,202562918;11011898,69;3512136,104;31425855,98;10713,2528;24525,52247;4027,276028;6027,276028;8760000;0;5986803,843;8244593,038;7651432,739;16455384,9;15339964,14;1115420,754
