Day,Pb_Sum,Ppv_Sum,Pd_Sum,Ppvmax_Sum,Ps_Sum,Pc_Sum,SOC_Avg,Benefit,npv
43,0.0,42191.55006352474,21138.9242746339,44557.76758916016,17686.176588890765,21644.29774926787,10109.939154826314,445485.20739509986,30813770.365976267
44,0.0,41649.60617707464,19420.92077229423,43718.740972664615,15426.229200101001,21644.297749267866,10096.971962616453,445485.20739509986,30813770.365976267
45,0.0,41826.665558188935,20802.385244504294,44365.128006396306,16984.753053425356,21644.29774926787,10557.589456676784,445485.20739509986,30813770.365976267
46,0.0,42233.32732243737,18805.866682747015,51527.60695108578,15394.896255916516,21644.297749267866,10094.518436038345,445485.20739509986,30813770.365976267
47,0.0,41231.83358794823,21078.59481671365,41795.82658326889,17023.55831497994,21286.870089681943,10951.581134478642,445485.20739509986,30813770.365976267
48,0.0,38949.170580138096,18096.60413467818,38949.170580138096,13755.595727776992,19290.17898703929,9283.353949975766,445485.20739509986,30813770.365976267
49,0.0,42248.907524086935,19395.390225180945,45565.06372072051,16000.0,21644.29774926787,10707.885009578742,445485.20739509986,30813770.365976267
50,0.0,41179.118045043004,20300.72488247769,42906.405382696605,15835.54517825282,21644.297749267866,10062.947450952443,445485.20739509986,30813770.365976267
51,0.0,41776.098433226805,18212.034477731024,48687.913824440424,14343.835161689956,21644.297749267866,10387.376262006946,445485.20739509986,30813770.365976267
52,0.0,42180.439238646766,21627.81936310386,49641.827902945726,18163.96085248275,21644.297749267866,11050.70502783785,445485.20739509986,30813770.365976267
53,0.0,42320.36327850539,20077.91283494361,47468.24996007415,16753.978364181115,21644.29774926787,10293.801830483526,445485.20739509986,30813770.365976267
54,0.0,42437.57169934363,20046.085921494698,46942.552785423424,16839.359871570447,21644.29774926787,10356.095386858147,445485.20739509986,30813770.365976267
55,0.0,41910.22007601422,20216.67639538798,42756.70353825963,16482.598722134328,21644.29774926787,10246.063774694216,445485.20739509986,30813770.365976267
56,0.0,41426.794129540554,20438.661218582725,46149.94534549748,16221.15759885541,21644.297749267873,10438.5820734528,445485.20739509986,30813770.365976267
57,0.0,41997.750001346656,19646.54774792122,43919.50391132815,16000.0,21644.29774926787,10164.145375448095,445485.20739509986,30813770.365976267
58,0.0,42094.06979272858,17147.047630533583,47691.06200760824,13596.819673994285,21644.29774926787,10582.950090296965,445485.20739509986,30813770.365976267
59,0.0,42019.79911021722,22890.581679986528,50870.775602625916,19266.083040935864,21644.29774926787,10695.627364508922,445485.20739509986,30813770.365976267
60,0.0,41784.888299276296,15916.778737249626,45082.304284396654,12057.36928725805,21644.297749267866,10784.988881155621,445485.20739509986,30813770.365976267
61,0.0,42022.12006904569,24322.773991348244,46278.75856047812,20700.596311126064,21644.29774926787,11203.027861506693,445485.20739509986,30813770.365976267
62,0.0,39619.927681568835,18638.550016719113,39619.927681568835,14530.131461930363,19728.346236357585,9804.120542364186,445485.20739509986,30813770.365976267
63,0.0,39749.90137596372,17320.844794030472,39749.90137596372,13350.523289536282,19720.222880457906,9509.023225855593,445485.20739509986,30813770.365976267
64,0.0,41780.740350883774,19741.42272052257,46214.93219269492,15877.865322138457,21644.297749267866,10219.245977234425,445485.20739509986,30813770.365976267
65,0.0,39205.63653068515,18957.55623093755,39686.07500818052,15000.0,19163.192761622693,10698.216414390647,445485.20739509986,30813770.365976267
66,0.0,42032.56438377386,19611.73336549402,43857.99850237342,16000.0,21644.297749267873,10386.807838954226,445485.20739509986,30813770.365976267
67,0.0,41914.19548352137,20098.3074951355,43859.15898178766,16368.205229388996,21644.297749267866,10341.750232905744,445485.20739509986,30813770.365976267
68,0.0,41432.10255734732,16837.866137081306,42818.20894721435,12625.67094516076,21644.29774926787,10982.526619134585,445485.20739509986,30813770.365976267
69,0.0,41216.747355563115,22947.006157433952,41347.88152937224,19073.004444321687,21090.749068675374,11367.40323551317,445485.20739509986,30813770.365976267
70,0.0,42209.451224002776,19627.819363103852,45562.74276189203,16192.972837838748,21644.297749267876,10720.686731436339,445485.20739509986,30813770.365976267
71,0.0,41678.61816243064,15666.654281838666,44359.325609325104,11700.974695001438,21644.297749267873,10980.463904753602,445485.20739509986,30813770.365976267
72,0.0,40818.70291647878,21750.990895202824,40818.70291647878,18000.0,20569.69381168161,12091.956780992165,445485.20739509986,30813770.365976267
73,0.0,40426.46087446566,20851.286094091898,40980.009555058146,17000.0,20277.746968557545,11218.881173308853,445485.20739509986,30813770.365976267
74,0.0,41497.583373809204,20301.5955825412,47006.37915320661,16154.881207082526,21644.29774926787,9972.969215783358,445485.20739509986,30813770.365976267
75,0.0,41404.745020669994,19239.552728597875,44177.13034128943,15000.0,21644.297749267866,10083.790209175384,445485.20739509986,30813770.365976267
76,0.0,39453.97912533251,19344.164698696513,39781.2343201482,14753.653217733721,20044.490606295305,10354.552852678231,445485.20739509986,30813770.365976267
77,0.0,41078.15633600411,20042.60448325198,42040.687739673536,15476.463069988224,21644.297749267866,10349.1656155463,445485.20739509986,30813770.365976267
78,0.0,41693.70439481576,19950.59335445211,44346.56033576846,16000.0,21644.29774926787,10345.337363820034,445485.20739509986,30813770.365976267
79,0.0,40237.30272994454,20156.3314658475,41420.99173246937,14749.336446524158,21644.29774926787,10556.817375332505,445485.20739509986,30813770.365976267
80,0.0,38787.86394155873,18139.751498973234,38787.86394155873,11370.129546291459,21557.48589424051,10696.362223008999,445485.20739509986,30813770.365976267
81,0.0,41578.32296354158,21810.508600403973,43408.89296906253,17744.53381467767,21644.297749267873,10803.900232789716,445485.20739509986,30813770.365976267
82,0.0,41535.879194479116,18269.231224103685,44666.85265409872,14160.812669314933,21644.297749267866,10148.101173142059,445485.20739509986,30813770.365976267
83,0.0,41961.775139505204,21682.522609762662,45173.982158121624,18000.0,21644.29774926787,10640.114931973094,445485.20739509986,30813770.365976267
84,0.0,41851.52959515241,20060.011674465575,46096.563292442435,16267.243520350112,21644.29774926787,10160.39536080423,445485.20739509986,30813770.365976267
85,0.0,41481.33666200983,20462.69803120687,45013.835998956485,16299.736943948838,21644.29774926787,10137.964025382584,445485.20739509986,30813770.365976267
86,0.0,41893.30685406506,19783.817573876448,47787.38179899016,16032.826678673624,21644.29774926787,9992.986053975857,445485.20739509986,30813770.365976267
87,0.0,41538.2001533076,20206.565335734733,45068.37853142578,16100.46773977446,21644.29774926787,10016.368789353,445485.20739509986,30813770.365976267
88,0.0,41708.790627200884,17935.50712206699,44308.264515098555,14000.0,21644.29774926787,10311.983628849977,445485.20739509986,30813770.365976267
89,0.0,40291.845262413815,16648.30285921544,40291.845262413815,12813.757446187334,20126.390675441915,11681.705695846977,445485.20739509986,30813770.365976267
90,0.0,41764.49363908441,24062.332633294056,46126.735757212686,20182.528523110588,21644.297749267866,10729.361396857283,445485.20739509986,30813770.365976267
91,0.0,41726.1978184145,19058.023970712005,45679.95118273027,15139.924039858619,21644.297749267866,10206.535444633691,445485.20739509986,30813770.365976267
92,0.0,41420.99173246936,19110.88793570082,43732.6667256355,14887.581918902299,21644.29774926787,10662.023839699505,445485.20739509986,30813770.365976267
93,0.0,41367.60967941432,21832.55770927453,41427.9546089548,17899.37154603602,21300.79584265283,10950.558974977153,445485.20739509986,30813770.365976267
94,0.0,41803.94993916856,19840.347810099305,44876.89942807616,16000.0,21644.297749267866,10497.327961386165,445485.20739509986,30813770.365976267
95,0.0,41712.272065443605,19325.761460326547,45585.95235017682,15393.735776502275,21644.29774926787,10201.478501395612,445485.20739509986,30813770.365976267
96,0.0,41646.12473883192,20950.926609527014,44447.52204480735,16952.753599091066,21644.29774926787,10240.395347804713,445485.20739509986,30813770.365976267
97,0.0,41897.45480245758,18811.66907981821,44288.53636505647,15064.826133007919,21644.297749267866,10452.388841297054,445485.20739509986,30813770.365976267
98,0.0,41361.31331307868,21333.057591886893,44247.91958555808,17050.073155697704,21644.297749267873,10088.314750656564,445485.20739509986,30813770.365976267
99,0.0,41619.43371230441,20024.86403696347,44054.119523379995,16000.0,21644.29774926787,10336.252684748326,445485.20739509986,30813770.365976267
100,0.0,40969.56524032999,15281.933873965889,41015.98441689959,10737.865709893535,21513.633404402342,11191.76725858461,445485.20739509986,30813770.365976267
101,0.0,39907.72657630037,23214.022181484594,39907.72657630037,19000.0,20121.748757784957,11857.542958130502,445485.20739509986,30813770.365976267
102,0.0,41150.600028951434,18140.084754048137,41381.5354323852,13646.387033731702,21644.29774926787,10690.758151236798,445485.20739509986,30813770.365976267
103,0.0,41751.728365527764,21860.7424702912,43302.12886295245,17968.173086551094,21644.297749267866,10795.060711618858,445485.20739509986,30813770.365976267
104,0.0,41129.711399495114,19252.318002154516,41129.711399495114,15000.0,21382.029401649626,10148.138571066249,445485.20739509986,30813770.365976267
105,0.0,41613.6313152332,15935.797277416488,43928.787746642054,11905.130843381818,21644.29774926787,11289.760094304153,445485.20739509986,30813770.365976267
106,0.0,41527.75583857945,24148.18564871366,43206.969550984766,20031.643738025225,21644.29774926787,10644.833002981233,445485.20739509986,30813770.365976267
107,0.0,40729.3460015823,17904.17417788251,41128.55092008087,14000.0,20633.52017946481,11148.07121035774,445485.20739509986,30813770.365976267
108,0.0,41057.76167581223,14709.269405991678,41057.76167581223,10602.011330617166,21165.019751186745,12109.537451539056,445485.20739509986,30813770.365976267
109,0.0,36672.30996939916,20676.69323313698,36672.30996939916,16430.177628053665,16918.825574482475,13578.774055198854,445485.20739509986,30813770.365976267
110,0.0,39573.508504999234,19793.101409190374,40035.37931186677,15844.829013566743,19521.780900622864,11535.882207482748,445485.20739509986,30813770.365976267
111,0.0,41090.255099410955,20079.40656943275,41488.29953849528,15525.363919575815,21644.297749267884,10254.567940390867,445485.20739509986,30813770.365976267
112,0.0,41641.48282117496,17149.701844436968,42588.43402319483,13146.886916344061,21644.297749267873,10707.133203816682,445485.20739509986,30813770.365976267
113,0.0,40496.08963932006,16193.466807103181,41061.24311405495,11045.258697155368,21644.29774926787,11836.518832037145,445485.20739509986,30813770.365976267
114,0.0,40455.47285982165,25963.383253938955,40767.641822252226,21734.27484006924,20684.581273691372,11669.898645217954,445485.20739509986,30813770.365976267
115,0.0,39817.20918198964,18580.551108354586,39860.14692031652,14469.811594737355,19927.94869560687,9761.603403973626,445485.20739509986,30813770.365976267
116,0.0,36586.43449274539,17006.296366335628,36586.43449274539,11133.910121364548,18458.820737716476,9372.336906229573,445485.20739509986,30813770.365976267
117,0.0,41446.52227958265,19238.72550425854,45424.64571159746,15040.950034573305,21644.29774926787,10042.833579763497,445485.20739509986,30813770.365976267
118,0.0,41672.815765359446,20829.076271031812,42762.50593533084,16857.594287123382,21644.297749267862,10303.195742289243,445485.20739509986,30813770.365976267
119,0.0,41047.31736108407,20112.233248106375,41227.19167029127,15515.252859922572,21644.297749267876,10412.150600395236,445485.20739509986,30813770.365976267
120,0.0,41501.06481205192,20043.764962666213,42908.72634152508,15900.532025450262,21644.297749267866,10352.163662978603,445485.20739509986,30813770.365976267
121,0.0,38355.00512004719,19038.78978993435,38355.00512004719,13004.931298367286,20388.863611614266,9862.887707694363,445485.20739509986,30813770.365976267
122,0.0,37867.60376606639,19825.594832789095,37867.60376606639,12048.900849587611,21644.29774926787,10707.723039168299,445485.20739509986,30813770.365976267
123,0.0,37194.52570580717,13335.8725199798,37194.52570580717,4886.100476519103,21644.297749267866,11945.013931578536,445485.20739509986,30813770.365976267
124,0.0,40419.497997980216,24954.74130284463,40419.497997980216,19729.941551556978,21644.29774926787,11903.83050556441,445485.20739509986,30813770.365976267
125,0.0,41823.678089210654,20950.593354452103,44029.74945568095,17129.97369439488,21644.297749267866,10296.113373884304,445485.20739509986,30813770.365976267
126,0.0,41419.83125305511,20820.125690792793,42963.26887399436,16595.65919458004,21644.29774926787,10226.562452271688,445485.20739509986,30813770.365976267
127,0.0,41404.74502066999,20239.552728597875,42569.866352566976,16000.0,21644.297749267866,10413.133649008445,445485.20739509986,30813770.365976267
128,0.0,41810.91281565401,19947.445171284293,45064.897093183055,16114.060237670426,21644.29774926787,10371.856847932557,445485.20739509986,30813770.365976267
129,0.0,41365.28872058584,20248.00933957246,41365.28872058584,16042.110513987547,21571.187546170753,10639.129221255318,445485.20739509986,30813770.365976267
130,0.0,41697.18583305849,19863.816038454912,44967.41682238689,15916.704122245523,21644.29774926787,10244.235238231164,445485.20739509986,30813770.365976267
131,0.0,39003.71311260738,20017.90116047803,39003.71311260738,13377.316523817535,21644.29774926788,10714.555762646603,445485.20739509986,30813770.365976267
132,0.0,41613.6313152332,20270.05844844302,46042.02075997315,16239.39201440835,21644.297749267866,10709.234488481623,445485.20739509986,30813770.365976267
133,0.0,41422.15221188359,20063.826367783204,41930.44219532073,15841.68083039893,21644.29774926787,10279.776747251492,445485.20739509986,30813770.365976267
134,0.0,41635.68042410376,20008.61732516411,44760.85148665216,16000.0,21644.297749267873,10235.159566287539,445485.20739509986,30813770.365976267
135,0.0,41846.88767749544,19860.409215216292,42465.423205285384,16062.999143443869,21644.297749267873,10607.841071897761,445485.20739509986,30813770.365976267
136,0.0,41317.70906460201,19617.86901764013,42419.00402871579,15525.937725170383,21409.640357071738,10603.914137325146,445485.20739509986,30813770.365976267
137,0.0,36974.03461710156,20323.440501498066,36974.03461710156,11653.17736933177,21644.29774926786,10690.307234908,445485.20739509986,30813770.365976267
138,0.0,41450.003717825355,20099.467974549738,42148.61232519786,15905.173943107226,21644.297749267873,10379.354863960116,445485.20739509986,30813770.365976267
139,0.0,39612.9648050834,18744.75569945475,40230.33985345909,14163.52805380587,20194.192450732266,9692.436928478046,445485.20739509986,30813770.365976267
140,0.0,40785.04901346583,19161.165040934437,41358.3258441004,15016.771624304243,20929.442430096016,10211.476657023106,445485.20739509986,30813770.365976267
141,0.0,39156.89639528706,18371.0201574819,39156.89639528706,11883.618803501096,21644.29774926787,10822.826273192526,445485.20739509986,30813770.365976267
142,0.0,41686.74151833032,20957.55623093755,42228.685404780415,17000.0,21644.29774926787,10844.692510594567,445485.20739509986,30813770.365976267
143,0.0,41646.12473883193,20105.27037162094,43918.343431913905,16107.097361184988,21644.297749267866,10237.081999059777,445485.20739509986,30813770.365976267
144,0.0,41776.098433226805,19967.173321326372,42666.186143948915,16098.974005285309,21644.29774926787,10610.758964301962,445485.20739509986,30813770.365976267
145,0.0,41653.08761531736,16062.665888368965,42644.137035078355,12071.455754418457,21644.297749267873,11240.414965739299,445485.20739509986,30813770.365976267
146,0.0,38959.61489486626,21009.985067378177,38959.61489486626,16574.977827923547,19394.622134320885,12702.145842970409,445485.20739509986,30813770.365976267
147,0.0,41526.5953591652,19117.70239010267,44298.98067978463,15000.0,21644.29774926787,10681.5772813243,445485.20739509986,30813770.365976267
148,0.0,38596.384838209124,17271.016128199117,38596.384838209124,13091.808329141722,18775.59263726652,12423.74559983462,445485.20739509986,30813770.365976267
149,0.0,40151.42725329077,18799.428854387454,40151.42725329077,14655.03543775726,20295.820669920955,11866.948340463967,445485.20739509986,30813770.365976267
150,0.0,41649.606177074646,22903.346953543172,47180.451065342626,18908.655381349945,21644.29774926787,10557.646544825653,445485.20739509986,30813770.365976267
151,0.0,41337.43721464407,20210.87399831678,42452.65793172875,15904.013463692985,21644.29774926787,10393.199630677269,445485.20739509986,30813770.365976267
152,0.0,41520.792962094005,19123.50478717387,43748.91343743486,15000.0,21644.29774926787,10372.855836177061,445485.20739509986,30813770.365976267
153,0.0,41372.25159707128,20835.211923177918,41372.25159707128,16563.16577098132,21644.29774926787,10635.180496751593,445485.20739509986,30813770.365976267
154,0.0,40829.14723120695,19333.792535351553,41691.383435987285,15324.014730773206,20838.925035785294,10110.014143977283,445485.20739509986,30813770.365976267
155,0.0,41288.697079246,19851.395740040847,41288.697079246,15751.100541151774,21388.99227813506,10650.593757965931,445485.20739509986,30813770.365976267
156,0.0,40992.77482861479,18971.48198390843,40992.77482861479,14319.959063255323,21644.2977492679,10667.812756332658,445485.20739509986,30813770.365976267
157,0.0,40819.86339589302,18594.375390785237,40819.86339589302,14458.105330054723,20956.13345662354,10960.520106829359,445485.20739509986,30813770.365976267
158,0.0,38609.15011176576,21803.878978993434,38633.5201794648,14768.731341491326,21644.297749267876,11316.21193006262,445485.20739509986,30813770.365976267
159,0.0,41143.63715246599,20102.61615771755,42026.76198670265,15601.955560915681,21644.297749267862,10574.157924006957,445485.20739509986,30813770.365976267
160,0.0,41583.45885046296,19930.371235145598,48461.62033866361,15869.532336340688,21644.29774926787,10120.184422371727,445485.20739509986,30813770.365976267
161,0.0,41431.43604719752,20173.738657061098,42306.4375255345,15960.876954990747,21644.297749267866,10459.903323436056,445485.20739509986,30813770.365976267
162,0.0,41510.348647365834,16152.850027604778,43537.70618404317,12018.900925702746,21644.29774926787,11031.0483955511,445485.20739509986,30813770.365976267
163,0.0,41685.581038916076,23854.606818145083,45120.60010506656,19895.890107793297,21644.297749267873,11705.788654888696,445485.20739509986,30813770.365976267
164,0.0,41445.36180016839,16249.1698189867,42392.31300218826,12050.233869887226,21644.29774926787,10897.065959980975,445485.20739509986,30813770.365976267
165,0.0,40535.54593940423,22988.467626611404,40535.54593940423,18896.29578362201,20627.717782393607,11728.854257171299,445485.20739509986,30813770.365976267
166,0.0,41716.91398310057,19927.38376616731,44658.72929819904,16000.0,21644.297749267873,10316.416873117705,445485.20739509986,30813770.365976267
167,0.0,41757.530762598966,20164.454821747182,45341.091193772176,16277.687835078277,21644.297749267873,10182.904326440455,445485.20739509986,30813770.365976267
168,0.0,41619.433712304395,19981.43232937216,46972.72525019366,15956.568292408692,21644.29774926787,9929.73698241173,445485.20739509986,30813770.365976267
169,0.0,41632.198985861054,20012.09876340683,44917.51620757457,16000.0,21644.29774926787,10455.965569876884,445485.20739509986,30813770.365976267
170,0.0,41786.54274795497,18182.195268035684,46939.0713471807,14324.440266722777,21644.29774926787,10552.384347043755,445485.20739509986,30813770.365976267
171,0.0,41585.77980929144,15130.800918734218,43955.47877316958,11072.282978757787,21644.29774926787,12154.21737396384,445485.20739509986,30813770.365976267
172,0.0,41689.06247715881,26898.70503588621,46369.27595478885,22943.469763777142,21644.297749267873,11258.927553225563,445485.20739509986,30813770.365976267
173,0.0,41583.45885046296,20041.44400383774,44304.78307685583,15980.605105032826,21644.29774926787,10290.897926091171,445485.20739509986,30813770.365976267
174,0.0,41346.721049958,20073.93742743646,45132.20489920898,15776.360728126581,21644.297749267873,10101.697912620088,445485.20739509986,30813770.365976267
175,0.0,41621.75467113288,19105.37160627475,44139.99500003375,15082.828528139762,21644.297749267866,10340.996959654556,445485.20739509986,30813770.365976267
176,0.0,40463.596215721336,20188.491634371312,40463.596215721336,16000.0,20652.08785009265,10932.5571698689,445485.20739509986,30813770.365976267
177,0.0,41663.53193004553,13058.851195051337,45033.56414899857,9078.085375828987,21644.29774926787,11927.372055940408,445485.20739509986,30813770.365976267
178,0.0,41808.59185682553,26703.411239218975,45449.015779296504,22867.70534677663,21644.29774926787,10937.18530980457,445485.20739509986,30813770.365976267
179,0.0,41647.28521824617,20212.034477731024,43672.32179609502,16215.021946709316,21644.29774926787,10442.632721542608,445485.20739509986,30813770.365976267
180,0.0,41750.56788611352,20070.45598919374,42513.002861269226,16176.726126039393,21644.29774926787,10512.044321952235,445485.20739509986,30813770.365976267
181,0.0,40461.27525689286,14965.796293111247,41376.89351472824,11132.41135949738,20294.660190506722,10698.149999430627,445485.20739509986,30813770.365976267
182,0.0,41752.888844942005,23891.408904325865,48546.33533590314,20000.0,21644.29774926787,11305.054823622428,445485.20739509986,30813770.365976267
183,0.0,41832.96192452457,19888.260721158058,45903.923709678595,16076.924896414752,21644.29774926787,10130.635908487087,445485.20739509986,30813770.365976267
184,0.0,41752.888844942005,13343.501906615049,48042.687270122966,9452.093002289183,21644.29774926787,11282.912225769367,445485.20739509986,30813770.365976267
185,0.0,41295.65995573143,26798.90380626157,42884.35627382603,22450.266012725133,21644.29774926787,11318.623853634623,445485.20739509986,30813770.365976267
186,0.0,41458.127073725045,20164.454821747182,44324.51122689791,15978.284146204347,21644.297749267873,10132.586746333494,445485.20739509986,30813770.365976267
187,0.0,41696.025353644254,19948.27239562363,43399.609133748614,16000.0,21644.297749267873,10472.40879823777,445485.20739509986,30813770.365976267
188,0.0,41868.936786366015,18941.642774213098,45071.85996966849,15166.281811311233,21644.297749267866,10325.2721999576,445485.20739509986,30813770.365976267
189,0.0,41836.44336276729,21080.073079582566,47935.923164012886,17272.21869308198,21644.29774926787,10076.909987718385,445485.20739509986,30813770.365976267
190,0.0,41473.213306110156,20171.084443157713,47200.1792153847,16000.0,21644.29774926787,10135.373773530499,445485.20739509986,30813770.365976267
191,0.0,41982.66376896153,19090.517394310726,43545.82953994286,15428.883414004384,21644.297749267866,10421.3601411287,445485.20739509986,30813770.365976267
192,0.0,41475.53426493864,21098.307495135494,44538.03943911808,16929.54401080626,21644.297749267873,10314.028800633221,445485.20739509986,30813770.365976267
193,0.0,41925.800277663766,18718.497471604103,45619.606253189784,15000.0,21644.29774926787,10825.193969515765,445485.20739509986,30813770.365976267
194,0.0,41700.66727130121,20183.02249237502,43982.169799697105,16239.392014408351,21644.29774926787,10510.274834774498,445485.20739509986,30813770.365976267
195,0.0,41439.55940309719,17323.77375657297,42444.534575829064,13119.035410402294,21644.29774926787,11087.633303079972,445485.20739509986,30813770.365976267
196,0.0,37542.66953007918,22887.92746608314,37542.66953007918,14786.299246894454,21644.297749267862,11261.370242853785,445485.20739509986,30813770.365976267
197,0.0,41679.77864184489,17206.565335734726,47367.28825103527,13242.046228311736,21644.29774926787,10835.157785023323,445485.20739509986,30813770.365976267
198,0.0,41668.173847702485,23782.657094462207,45821.52967126755,19806.53319289682,21644.29774926787,10702.067240249346,445485.20739509986,30813770.365976267
199,0.0,41513.83008560856,17251.49077781518,45816.887753610594,13121.023114155865,21644.29774926787,10393.54393409315,445485.20739509986,30813770.365976267
